agency,date,time,event_num,incident_num,nature_code,Nature_Description,beat_zone,event_source,disposition_code,Hour,Year,Num,NumDay,NumMonth,YearMon,Location,NatureMajor
SRP,08/15/2017 12:00:00 AM,2027,172270401,,1154,SUSPICIOUS VEHICLE,7,OFFICER,HRI,20,2017,1,2 Tue,,2017_08,"(38.421842863338036, -122.74936226160166)",SUSPICIOUS VEHICLE
SRP,08/16/2017 12:00:00 AM,0154,172280025,170010737,T,TRAFFIC STOP,9,OFFICER,HRI,1,2017,1,3 Wed,,2017_08,"(38.43840825130084, -122.71620423811413)",OTHER
SRP,08/15/2017 12:00:00 AM,2152,172270425,,1017,SECURITYCHECK,8,PHONE,HRI,21,2017,1,2 Tue,,2017_08,"(38.42359752334538, -122.71381140682026)",SECURITYCHECK
SRP,08/15/2017 12:00:00 AM,2032,172270405,,UNWANTED,UNWANTED GUEST,6,PHONE,HRI,20,2017,1,2 Tue,,2017_08,"(38.44646339124899, -122.68752722972988)",UNWANTED GUEST
SRP,08/15/2017 12:00:00 AM,2136,172270421,,1066,SUSPICIOUS PERSON,8,PHONE,HRI,21,2017,1,2 Tue,,2017_08,"(38.41949080758429, -122.70421021052337)",SUSPICIOUS PERSON
SRP,08/15/2017 12:00:00 AM,2102,172270411,,CTW,CHECK THE WELFARE,9,PHONE,HRI,21,2017,1,2 Tue,,2017_08,"(38.44115333385774, -122.71190583256355)",CHECK THE WELFARE
SRP,08/15/2017 12:00:00 AM,2143,172270424,,SLEEPER,SUBJ SLEEPING,9,PHONE,HRI,21,2017,1,2 Tue,,2017_08,"(38.44289044238249, -122.71696841108874)",SUBJ SLEEPING
SRP,08/15/2017 12:00:00 AM,1903,172270373,,CTW,CHECK THE WELFARE,9,PHONE,HRI,19,2017,1,2 Tue,,2017_08,"(38.439626872911305, -122.71585683696057)",CHECK THE WELFARE
SRP,08/15/2017 12:00:00 AM,1424,172270272,,415,DISTURBANCE,4,PHONE,HRI,14,2017,1,2 Tue,,2017_08,"(38.453654936321925, -122.68152722455743)",DISTURBANCE
SRP,08/15/2017 12:00:00 AM,1811,172270359,,1017,SECURITYCHECK,2,OFFICER,HRI,18,2017,1,2 Tue,,2017_08,"(38.463474820670896, -122.71732863652257)",SECURITYCHECK
SRP,08/15/2017 12:00:00 AM,1749,172270347,,T,TRAFFIC STOP,9,OFFICER,HRI,17,2017,1,2 Tue,,2017_08,"(38.445889078923024, -122.72663555495038)",OTHER
SRP,08/15/2017 12:00:00 AM,2022,172270399,,CO,COUNTY / CITY ORDINANCE,8,PHONE,HRI,20,2017,1,2 Tue,,2017_08,"(38.42725706325285, -122.70365488526572)",COUNTY / CITY ORDINANCE
SRP,08/16/2017 12:00:00 AM,0118,172280015,,OWS,OUT WITH SUBJECT,8,OFFICER,HRI,1,2017,1,3 Wed,,2017_08,"(38.427209525294565, -122.71319818949104)",OUT WITH SUBJECT
SRP,08/15/2017 12:00:00 AM,1607,172270303,170010720,OWS,OUT WITH SUBJECT,5,OFFICER,HRI,16,2017,1,2 Tue,,2017_08,"(38.43018307956783, -122.73817050164286)",OUT WITH SUBJECT
SRP,08/15/2017 12:00:00 AM,1805,172270356,,UNWANTED,UNWANTED GUEST,9,PHONE,HRI,18,2017,1,2 Tue,,2017_08,"(38.440952471611965, -122.71330739276956)",UNWANTED GUEST
SRP,08/15/2017 12:00:00 AM,1857,172270372,,1017,SECURITYCHECK,4,PHONE,HRI,18,2017,1,2 Tue,,2017_08,"(38.452620979051545, -122.6901042093462)",SECURITYCHECK
